epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4426.54,1.06929,0.60342,1.13879,0.25342,0.16379,0.16956,0.05654,3.03378,4.34722,2.85984,0.005842,0.005842,0.005842
44,4529.42,1.0579,0.59945,1.13434,0.24835,0.17031,0.17006,0.05701,3.02661,4.34481,2.85542,0.005743,0.005743,0.005743
45,4631.2,1.05745,0.59595,1.13383,0.24171,0.1786,0.1706,0.05739,3.0258,4.33355,2.85211,0.005644,0.005644,0.005644
46,4733.62,1.04918,0.59109,1.13077,0.23635,0.17978,0.16952,0.05758,3.02472,4.33349,2.85327,0.005545,0.005545,0.005545
47,4835.73,1.04684,0.58899,1.12991,0.23518,0.18288,0.16852,0.0574,3.02287,4.33616,2.85282,0.005446,0.005446,0.005446
48,4938.33,1.03807,0.58497,1.1266,0.23515,0.18572,0.16874,0.05759,3.01877,4.34648,2.84801,0.005347,0.005347,0.005347
49,5040.56,1.0322,0.58217,1.12203,0.23354,0.18499,0.16773,0.0573,3.0181,4.36009,2.84762,0.005248,0.005248,0.005248
50,5141.99,1.03013,0.57973,1.12127,0.23274,0.18163,0.166,0.05671,3.0187,4.36959,2.85021,0.005149,0.005149,0.005149
51,5244.41,1.02176,0.57324,1.11556,0.22513,0.19229,0.16411,0.05618,3.0213,4.38397,2.85189,0.00505,0.00505,0.00505
52,5345.77,1.01508,0.57045,1.1115,0.21232,0.21286,0.16252,0.05571,3.02055,4.39092,2.85184,0.004951,0.004951,0.004951
53,5447.13,1.01132,0.56798,1.11239,0.19917,0.23671,0.16042,0.05522,3.02146,4.40348,2.85224,0.004852,0.004852,0.004852
54,5550.05,1.00861,0.56332,1.11126,0.16075,0.30426,0.15837,0.05464,3.02267,4.41653,2.85314,0.004753,0.004753,0.004753
55,5652.64,0.99852,0.56137,1.10485,0.12131,0.36996,0.15739,0.05416,3.02145,4.42093,2.85204,0.004654,0.004654,0.004654
56,5754.94,0.99309,0.55877,1.10368,0.12242,0.36718,0.15705,0.05423,3.0205,4.43284,2.85141,0.004555,0.004555,0.004555
57,5857.03,0.98975,0.55568,1.10193,0.12331,0.36365,0.15686,0.0543,3.02041,4.44257,2.85114,0.004456,0.004456,0.004456
58,5959.26,0.98007,0.55117,1.0975,0.12389,0.36021,0.15537,0.05387,3.0211,4.46059,2.85108,0.004357,0.004357,0.004357
59,6061.58,0.9787,0.55017,1.09713,0.12483,0.35765,0.15435,0.05358,3.02048,4.47614,2.84961,0.004258,0.004258,0.004258
60,6164.41,0.97262,0.54529,1.09229,0.12598,0.354,0.15375,0.05347,3.02109,4.49004,2.84877,0.004159,0.004159,0.004159
61,6266.94,0.96473,0.54203,1.08955,0.12656,0.35155,0.15283,0.05329,3.02187,4.50484,2.84785,0.00406,0.00406,0.00406
62,6369.32,0.95967,0.53774,1.08814,0.12758,0.34903,0.15157,0.05295,3.02253,4.5246,2.84738,0.003961,0.003961,0.003961
63,6471.31,0.96136,0.53842,1.08886,0.1279,0.34603,0.15104,0.05272,3.02435,4.53592,2.84726,0.003862,0.003862,0.003862
64,6573.99,0.95095,0.53299,1.08095,0.12892,0.34332,0.1502,0.05251,3.02569,4.55041,2.8467,0.003763,0.003763,0.003763
65,6676.5,0.94432,0.53081,1.08028,0.12929,0.33944,0.14936,0.0522,3.02813,4.56633,2.84754,0.003664,0.003664,0.003664
66,6779.03,0.93669,0.52555,1.07671,0.13071,0.33629,0.14901,0.05204,3.02941,4.58018,2.84652,0.003565,0.003565,0.003565
67,6880.45,0.93984,0.52701,1.07753,0.13123,0.33481,0.14858,0.05178,3.03121,4.58866,2.84691,0.003466,0.003466,0.003466
68,6983.13,0.93046,0.52179,1.07305,0.13278,0.33436,0.15014,0.05236,3.03018,4.59072,2.84361,0.003367,0.003367,0.003367
69,7085.62,0.92702,0.51967,1.0703,0.13382,0.33227,0.14992,0.05232,3.03142,4.60326,2.84258,0.003268,0.003268,0.003268
70,7187.46,0.92204,0.51774,1.06847,0.13493,0.32933,0.14992,0.05244,3.03238,4.61925,2.84136,0.003169,0.003169,0.003169
71,7290.22,0.91551,0.51445,1.06456,0.13715,0.326,0.14957,0.05249,3.03341,4.638,2.84113,0.00307,0.00307,0.00307
72,7392.64,0.91403,0.51247,1.06413,0.13855,0.3222,0.14848,0.05222,3.03398,4.65543,2.83993,0.002971,0.002971,0.002971
73,7494.87,0.90925,0.51092,1.06472,0.1398,0.31908,0.148,0.05217,3.03532,4.67064,2.83863,0.002872,0.002872,0.002872
74,7596.26,0.90503,0.50524,1.06225,0.14072,0.31599,0.14689,0.05208,3.03571,4.68697,2.83842,0.002773,0.002773,0.002773
75,7698.71,0.89864,0.50268,1.05741,0.14143,0.31432,0.14628,0.05176,3.03675,4.70174,2.83855,0.002674,0.002674,0.002674
76,7800.91,0.89133,0.50065,1.05549,0.14301,0.31246,0.14612,0.05168,3.03678,4.71737,2.83756,0.002575,0.002575,0.002575
77,7902.93,0.88643,0.49571,1.05104,0.14408,0.3082,0.1454,0.05129,3.03706,4.74178,2.83625,0.002476,0.002476,0.002476
78,8005.04,0.87934,0.49351,1.05025,0.14469,0.30477,0.14446,0.05088,3.03719,4.76185,2.83495,0.002377,0.002377,0.002377
79,8107.24,0.87461,0.49231,1.04682,0.14488,0.29932,0.14243,0.05016,3.03888,4.78731,2.83431,0.002278,0.002278,0.002278
80,8204.7,0.86965,0.48769,1.04467,0.14554,0.29522,0.14123,0.04983,3.03941,4.80753,2.83343,0.002179,0.002179,0.002179
81,8302.04,0.86736,0.48835,1.04462,0.14622,0.28988,0.14013,0.04947,3.03977,4.83022,2.83211,0.00208,0.00208,0.00208
82,8399.44,0.86159,0.48622,1.04173,0.14579,0.28448,0.13855,0.04888,3.04027,4.84933,2.83096,0.001981,0.001981,0.001981
83,8497.02,0.85239,0.47901,1.03585,0.14634,0.27974,0.13697,0.04827,3.04079,4.87609,2.82925,0.001882,0.001882,0.001882
84,8594.32,0.84908,0.4783,1.03546,0.14642,0.27559,0.13608,0.0479,3.04141,4.8944,2.8288,0.001783,0.001783,0.001783
85,8691.75,0.84221,0.47512,1.03313,0.14598,0.27105,0.135,0.04735,3.04284,4.9139,2.82852,0.001684,0.001684,0.001684
86,8789.2,0.84093,0.47367,1.03294,0.14646,0.26791,0.13433,0.04706,3.04363,4.93336,2.82843,0.001585,0.001585,0.001585
87,8892.32,0.8345,0.47178,1.02952,0.14693,0.26428,0.13326,0.0466,3.04468,4.95212,2.82856,0.001486,0.001486,0.001486
88,8995.03,0.82763,0.46808,1.02521,0.14722,0.25949,0.13246,0.04604,3.04634,4.97168,2.82989,0.001387,0.001387,0.001387
89,9097.44,0.8299,0.46933,1.02602,0.1481,0.25686,0.13236,0.04577,3.04833,4.98669,2.83159,0.001288,0.001288,0.001288
90,9200.33,0.82032,0.46346,1.02298,0.14689,0.25154,0.13035,0.04489,3.05022,5.00913,2.83246,0.001189,0.001189,0.001189
91,9303.66,0.73868,0.4095,1.01615,0.14728,0.24805,0.13004,0.04461,3.05213,5.02889,2.83344,0.00109,0.00109,0.00109
92,9404.46,0.71926,0.40039,1.00774,0.14721,0.24413,0.12881,0.04419,3.05315,5.04739,2.83446,0.000991,0.000991,0.000991
93,9504.98,0.70465,0.39508,1.00102,0.14722,0.24041,0.12774,0.0437,3.05443,5.06834,2.83643,0.000892,0.000892,0.000892
94,9605.87,0.69596,0.39099,0.99553,0.1475,0.23656,0.12687,0.04327,3.05487,5.09073,2.8374,0.000793,0.000793,0.000793
95,9706.96,0.68405,0.38643,0.99039,0.14755,0.23372,0.12602,0.04287,3.05625,5.10975,2.8394,0.000694,0.000694,0.000694
96,9807.11,0.6788,0.38334,0.98854,0.14787,0.22981,0.12513,0.04248,3.05675,5.13449,2.84127,0.000595,0.000595,0.000595
97,9906.9,0.66908,0.3795,0.98353,0.1486,0.22582,0.12423,0.0423,3.05736,5.16282,2.84287,0.000496,0.000496,0.000496
98,10006.7,0.66063,0.37513,0.9786,0.14916,0.2244,0.12336,0.042,3.0585,5.18615,2.84505,0.000397,0.000397,0.000397
99,10107.8,0.65488,0.37186,0.97474,0.14939,0.21956,0.12211,0.04165,3.0591,5.21066,2.84681,0.000298,0.000298,0.000298
100,10208.2,0.64748,0.37097,0.97455,0.14855,0.21579,0.1201,0.04093,3.06076,5.2338,2.85008,0.000199,0.000199,0.000199
