epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3770.25,1.01849,0.54952,1.02923,0.93473,0.92141,0.94883,0.7309,0.87803,0.47941,1.01599,0.007921,0.007921,0.007921
44,3855.67,1.01497,0.54734,1.02713,0.93353,0.92261,0.94914,0.73189,0.87519,0.47761,1.01449,0.0078715,0.0078715,0.0078715
45,3941.24,1.00989,0.54368,1.02404,0.93363,0.92254,0.9492,0.73273,0.87273,0.47585,1.01346,0.007822,0.007822,0.007822
46,4026.71,1.00567,0.54011,1.02386,0.93548,0.9227,0.94979,0.73389,0.87029,0.47389,1.0126,0.0077725,0.0077725,0.0077725
47,4112.04,0.99815,0.53927,1.0205,0.93573,0.92255,0.94979,0.73496,0.86767,0.47274,1.01148,0.007723,0.007723,0.007723
48,4198.28,0.99501,0.53508,1.02041,0.93559,0.92385,0.95026,0.73589,0.86542,0.47071,1.01043,0.0076735,0.0076735,0.0076735
49,4286.85,0.99825,0.53571,1.02152,0.93534,0.92488,0.95083,0.73694,0.86303,0.46947,1.00949,0.007624,0.007624,0.007624
50,4375.31,0.98687,0.52912,1.01665,0.93561,0.9251,0.95068,0.73769,0.86101,0.46836,1.00863,0.0075745,0.0075745,0.0075745
51,4463.2,0.98339,0.52986,1.01429,0.93616,0.9264,0.95118,0.7382,0.85882,0.46694,1.00778,0.007525,0.007525,0.007525
52,4551.55,0.97659,0.52643,1.01048,0.93661,0.92608,0.95131,0.7389,0.85638,0.46579,1.0067,0.0074755,0.0074755,0.0074755
53,4640.09,0.97627,0.52539,1.0122,0.93716,0.92656,0.95158,0.73965,0.85459,0.46475,1.00612,0.007426,0.007426,0.007426
54,4728.53,0.97552,0.52366,1.01299,0.93748,0.92687,0.95178,0.74045,0.85287,0.46341,1.0054,0.0073765,0.0073765,0.0073765
55,4816.88,0.96969,0.52005,1.00781,0.93651,0.92751,0.9517,0.74097,0.85084,0.46225,1.0046,0.007327,0.007327,0.007327
56,4905.53,0.9665,0.51947,1.00755,0.93721,0.92769,0.95203,0.74146,0.84882,0.46116,1.0038,0.0072775,0.0072775,0.0072775
57,4994.09,0.96019,0.51626,1.00637,0.93772,0.92808,0.95232,0.7421,0.84679,0.45979,1.00295,0.007228,0.007228,0.007228
58,5082.45,0.95954,0.51707,1.00689,0.93799,0.92856,0.95276,0.7427,0.84477,0.45871,1.00213,0.0071785,0.0071785,0.0071785
59,5170.52,0.95566,0.5141,1.00192,0.93811,0.92856,0.95298,0.74383,0.84296,0.45768,1.00137,0.007129,0.007129,0.007129
60,5254.45,0.95178,0.51155,1.00211,0.93806,0.92927,0.95326,0.74436,0.84143,0.45655,1.00064,0.0070795,0.0070795,0.0070795
61,5338.4,0.94255,0.50832,0.99951,0.93735,0.93063,0.95354,0.74539,0.83955,0.45559,0.99987,0.00703,0.00703,0.00703
62,5422.34,0.94061,0.50514,0.997,0.93755,0.9311,0.95364,0.74616,0.83802,0.45432,0.99912,0.0069805,0.0069805,0.0069805
63,5506.23,0.93242,0.50162,0.99449,0.93781,0.93179,0.95422,0.74684,0.83666,0.45332,0.9984,0.006931,0.006931,0.006931
64,5590.15,0.93819,0.50413,0.9969,0.93708,0.93241,0.95437,0.74779,0.83481,0.45186,0.99765,0.0068815,0.0068815,0.0068815
65,5677.43,0.93372,0.50163,0.99565,0.93841,0.93183,0.95461,0.7482,0.83298,0.45054,0.99694,0.006832,0.006832,0.006832
66,5765.21,0.93055,0.49861,0.99555,0.93787,0.93221,0.95495,0.74906,0.8314,0.44915,0.99628,0.0067825,0.0067825,0.0067825
67,5852.65,0.92651,0.49805,0.99447,0.93756,0.93326,0.9556,0.75,0.8295,0.44802,0.99544,0.006733,0.006733,0.006733
68,5940.44,0.92629,0.49723,0.99348,0.93768,0.93334,0.95568,0.75041,0.82766,0.44677,0.99456,0.0066835,0.0066835,0.0066835
69,6028.39,0.92207,0.49579,0.99075,0.93802,0.93422,0.95579,0.75108,0.82596,0.44573,0.99381,0.006634,0.006634,0.006634
70,6117.14,0.91949,0.49335,0.99072,0.93806,0.93489,0.95611,0.75166,0.82421,0.44431,0.99306,0.0065845,0.0065845,0.0065845
71,6205.89,0.91731,0.49274,0.98985,0.93923,0.93526,0.95625,0.75248,0.8226,0.44333,0.99236,0.006535,0.006535,0.006535
72,6295.19,0.91129,0.49083,0.98612,0.93877,0.93528,0.95658,0.75361,0.82087,0.44206,0.9915,0.0064855,0.0064855,0.0064855
73,6384.35,0.9113,0.48914,0.98826,0.93878,0.93545,0.95671,0.75447,0.81918,0.44111,0.99067,0.006436,0.006436,0.006436
74,6473.21,0.90772,0.48655,0.98546,0.93967,0.9358,0.95679,0.75508,0.81728,0.43989,0.98983,0.0063865,0.0063865,0.0063865
75,6562.22,0.9032,0.48451,0.98467,0.9395,0.93666,0.95688,0.75607,0.81528,0.43848,0.98894,0.006337,0.006337,0.006337
76,6651.62,0.90079,0.483,0.98084,0.94025,0.93683,0.95686,0.75669,0.81343,0.43721,0.98809,0.0062875,0.0062875,0.0062875
77,6740.55,0.89822,0.4814,0.98362,0.94079,0.93611,0.95696,0.7578,0.8113,0.43603,0.98721,0.006238,0.006238,0.006238
78,6829.45,0.89777,0.48094,0.98161,0.94068,0.93653,0.95727,0.75849,0.80938,0.43477,0.98629,0.0061885,0.0061885,0.0061885
79,6918.31,0.8935,0.47884,0.98078,0.94067,0.93715,0.95741,0.75919,0.80738,0.43356,0.98545,0.006139,0.006139,0.006139
80,7005.57,0.89127,0.47824,0.98104,0.94095,0.93807,0.95792,0.75967,0.80572,0.43236,0.9847,0.0060895,0.0060895,0.0060895
81,7089.98,0.89024,0.47588,0.97958,0.94154,0.93783,0.95799,0.76056,0.80385,0.43126,0.98384,0.00604,0.00604,0.00604
82,7180.09,0.88536,0.47419,0.9782,0.94111,0.93879,0.95805,0.76167,0.80186,0.43001,0.98294,0.0059905,0.0059905,0.0059905
83,7268.1,0.88285,0.47187,0.9764,0.94194,0.93829,0.95838,0.76237,0.80018,0.42915,0.98216,0.005941,0.005941,0.005941
84,7355.09,0.88046,0.47291,0.97739,0.94233,0.93831,0.95855,0.76332,0.79792,0.42779,0.98132,0.0058915,0.0058915,0.0058915
85,7442.53,0.87952,0.47167,0.97499,0.94188,0.93932,0.95867,0.76461,0.79619,0.42661,0.9805,0.005842,0.005842,0.005842
86,7530.71,0.8742,0.46872,0.97421,0.94174,0.93957,0.95885,0.76536,0.79412,0.42529,0.9796,0.0057925,0.0057925,0.0057925
87,7617.65,0.86963,0.46688,0.97115,0.94173,0.94071,0.95928,0.76615,0.79222,0.42419,0.97872,0.005743,0.005743,0.005743
88,7705.14,0.87294,0.46821,0.97392,0.94148,0.94084,0.95944,0.76688,0.79022,0.42301,0.9778,0.0056935,0.0056935,0.0056935
89,7792.5,0.86817,0.4647,0.97192,0.94197,0.94157,0.95979,0.76784,0.78841,0.42195,0.9769,0.005644,0.005644,0.005644
90,7879.11,0.87185,0.46556,0.97345,0.94287,0.94053,0.95988,0.76879,0.78634,0.4207,0.97598,0.0055945,0.0055945,0.0055945
91,7966.46,0.86105,0.46282,0.96827,0.94343,0.94123,0.96017,0.7696,0.78446,0.41976,0.97513,0.005545,0.005545,0.005545
92,8053.15,0.86723,0.46471,0.97119,0.94359,0.94142,0.96017,0.77024,0.78254,0.41883,0.97431,0.0054955,0.0054955,0.0054955
93,8139.81,0.86006,0.46035,0.96903,0.94364,0.94208,0.96035,0.77081,0.78081,0.41764,0.97353,0.005446,0.005446,0.005446
94,8227.58,0.8564,0.45963,0.96634,0.94382,0.94283,0.96059,0.77179,0.77873,0.41665,0.97265,0.0053965,0.0053965,0.0053965
95,8315.09,0.85388,0.4576,0.9677,0.94202,0.94424,0.96088,0.77221,0.77675,0.41564,0.97185,0.005347,0.005347,0.005347
96,8402.84,0.85001,0.4558,0.96319,0.94291,0.94534,0.96117,0.77307,0.77452,0.41458,0.97094,0.0052975,0.0052975,0.0052975
97,8490.44,0.85367,0.45679,0.96638,0.9436,0.94574,0.96151,0.77425,0.77294,0.41356,0.9703,0.005248,0.005248,0.005248
